query_loan_id,match_loan_id,manual_is_similar,source,note,status
loan_2196,loan_0076,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1788,loan_0077,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2197,loan_0077,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1531,loan_0080,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2121,loan_0080,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2473,loan_0080,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_3526,loan_0080,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_0528,loan_0082,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1416,loan_0082,1,stage1_review,stage1_recall_first_fp_confirmed_true_round4,manual_positive
loan_3527,loan_0082,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2198,loan_0084,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1821,loan_0086,1,stage1_review,stage1_recall_first_fp_confirmed_true_round2,manual_positive
loan_3528,loan_0086,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1919,loan_0098,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2477,loan_0101,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1954,loan_0103,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2478,loan_0103,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_0600,loan_0104,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1427,loan_0104,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2479,loan_0104,1,stage1_review,stage1_symmetric_iterative_fp_confirmed_true_round2,manual_positive
loan_3530,loan_0104,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1504,loan_0105,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2201,loan_0108,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2202,loan_0110,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_0620,loan_0112,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1699,loan_0112,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2480,loan_0112,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_3531,loan_0112,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1995,loan_0115,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2481,loan_0115,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_4061,loan_0115,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_0177,loan_0117,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2179,loan_0117,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_3146,loan_0117,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_4177,loan_0117,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_0423,loan_0118,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_0800,loan_0118,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2203,loan_0119,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1324,loan_0120,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2064,loan_0120,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2485,loan_0120,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_3533,loan_0120,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_4067,loan_0120,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2127,loan_0122,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2486,loan_0122,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_2204,loan_0123,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_0429,loan_0126,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_1145,loan_0126,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
loan_0126,loan_2487,1,stage1_review,stage1_recall_first_fp_confirmed_true,manual_positive
