query_loan_id,query_path,match_loan_id,match_path,rank,cosine_similarity,risk_level,pair_key,query_dataset_loan_id,query_business_loan_id,query_business_type,query_customer_id,query_customer_id_status,query_similar_group,query_is_similar_pair,match_dataset_loan_id,match_business_loan_id,match_business_type,match_customer_id,match_customer_id_status,match_similar_group,match_is_similar_pair,customer_relation,customer_relation_source,identity_evidence_level,customer_relation_label,monitor_threshold,is_suspicious,fraud_type,fraud_type_label,fraud_type_label_zh,monitor_risk_level,review_priority,recommended_action_zh,score_gap_to_threshold,query_risk_degree,match_risk_degree,risk_cluster_id,risk_cluster_size,cross_business_scene,fraud_score,score_component_similarity,score_component_threshold_margin,score_component_customer_relation,score_component_cross_product,score_component_node_degree,score_component_cluster_size,fraud_score_level,fraud_score_level_zh,innovation_tags
loan_066,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_066\face_signing.jpg,loan_067,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_067\face_signing.jpg,1,0.9870195984840392,high,loan_066::loan_067,loan_066,LN2024000066,商户易贷,9ba64175940e58e5696e7c12bceaaf4640b65f18675ff1ebe6920a786c2e9ae2,matched,SG_011,1,loan_067,LN2024000067,消费贷,4f0a153bc40585d2097544d9b750761bfe23a1671d4a0b1f91367a5221185e8f,matched_format_only,SG_011,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,high,urgent,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.03701959848403924,2,2,RISK_CLUSTER_008,3,True,1.0,0.5133,0.1777,0.18,0.06,0.08,0.02,critical,极高,跨客户高相似、跨产品复用、风险关系簇、极高综合欺诈分
loan_058,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_058\face_signing.jpg,loan_059,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_059\face_signing.jpg,1,0.9857848286628724,high,loan_058::loan_059,loan_058,LN2024000058,锡微贷,f1b66a733678f974f720d271277cb7ac005ff2bf0cfccf9aa50759b97a234c89,matched_format_only,SG_006,1,loan_059,LN2024000059,商户易贷,7c3e9b9e9e2fd2e43812672cceb12b8392d6c0732d1e056d32c98dea9c87ba2a,matched_format_only,SG_006,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,high,urgent,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.03578482866287247,2,2,RISK_CLUSTER_005,3,True,1.0,0.5126,0.1718,0.18,0.06,0.08,0.02,critical,极高,跨客户高相似、跨产品复用、风险关系簇、极高综合欺诈分
loan_017,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_017\face_signing.jpg,loan_061,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_061\face_signing.jpg,1,0.9850414991378784,high,loan_017::loan_061,loan_017,LN2024000017,商户易贷,daeb2f078bedfd64d6fdeaad879b1b1e893782e9e77f5945fc62fc4248150b3a,matched_format_only,SG_007,1,loan_061,LN2024000061,锡微贷,980c90a7bda2d5895a08a6b68098c2a5f565eaa209891d474aa21a604269178a,matched_format_only,SG_007,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,high,urgent,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.03504149913787846,2,2,RISK_CLUSTER_012,3,True,1.0,0.5122,0.1682,0.18,0.06,0.08,0.02,critical,极高,跨客户高相似、跨产品复用、风险关系簇、极高综合欺诈分
loan_053,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_053\face_signing.jpg,loan_054,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_054\face_signing.jpg,1,0.98433256149292,high,loan_053::loan_054,loan_053,LN2024000053,商户易贷,0be223c0fb03534bcb47df67dd861f28625ccc0858daf70953b890ef824396f0,matched,SG_003,1,loan_054,LN2024000054,消费贷,e11e6c2a1928f40ea8b20c6c77ba9e79ece2e6bd1957fd87d260233e2bac520d,matched,SG_003,1,cross_customer,customer_id,strong,陌生人/跨客户,0.95,True,cross_customer_fraud,cross-customer suspected fraud,陌生人跨客户疑似欺诈,high,urgent,进入反欺诈复核，重点核验身份、面签场景和贷款上下文。,0.03433256149292008,2,2,RISK_CLUSTER_002,9,True,1.0,0.5119,0.1648,0.18,0.06,0.08,0.12,critical,极高,跨客户高相似、跨产品复用、风险关系簇、极高综合欺诈分
loan_011,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_011\face_signing.jpg,loan_053,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_053\face_signing.jpg,1,0.9836162328720092,high,loan_011::loan_053,loan_011,LN2024000011,消费贷,16a520f7e0f76fa4c8a4b6685cdd6db63d638f881ab5453b8b9ba2bbaa1fa691,matched_format_only,SG_003,1,loan_053,LN2024000053,商户易贷,0be223c0fb03534bcb47df67dd861f28625ccc0858daf70953b890ef824396f0,matched,SG_003,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,high,urgent,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.03361623287200921,3,2,RISK_CLUSTER_002,9,True,1.0,0.5115,0.1614,0.18,0.06,0.12,0.12,critical,极高,跨客户高相似、跨产品复用、风险关系簇、高连接节点、极高综合欺诈分
loan_011,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_011\face_signing.jpg,loan_054,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_054\face_signing.jpg,2,0.9831632375717164,high,loan_011::loan_054,loan_011,LN2024000011,消费贷,16a520f7e0f76fa4c8a4b6685cdd6db63d638f881ab5453b8b9ba2bbaa1fa691,matched_format_only,SG_003,1,loan_054,LN2024000054,消费贷,e11e6c2a1928f40ea8b20c6c77ba9e79ece2e6bd1957fd87d260233e2bac520d,matched,SG_003,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,high,urgent,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.033163237571716464,3,2,RISK_CLUSTER_002,9,False,1.0,0.5112,0.1592,0.18,0.0,0.12,0.12,critical,极高,跨客户高相似、风险关系簇、高连接节点、极高综合欺诈分
loan_005,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_005\face_signing.jpg,loan_052,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_052\face_signing.jpg,1,0.9747554659843444,high,loan_005::loan_052,loan_005,LN2024000005,锡微贷,f697d943bf13db68070e6df84b8fd19d24f332a3a8b6bde75467f5d2c81cfa2c,matched_format_only,SG_002,1,loan_052,LN2024000052,锡微贷,12a24e1826409273a117fdc9f582063b309fe466d2d1ee181bd1dcdf2348400d,matched_format_only,SG_002,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,high,urgent,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.024755465984344416,3,3,RISK_CLUSTER_002,9,False,1.0,0.5069,0.1188,0.18,0.0,0.12,0.12,critical,极高,跨客户高相似、风险关系簇、高连接节点、极高综合欺诈分
loan_003,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_003\face_signing.jpg,loan_005,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_005\face_signing.jpg,1,0.9633510112762452,medium,loan_003::loan_005,loan_003,LN2024000003,商户易贷,3d84a8fdf3089439635f359d6a8aacfee62019a6ed7831d05f9e4ab3153f3986,matched_format_only,,0,loan_005,LN2024000005,锡微贷,f697d943bf13db68070e6df84b8fd19d24f332a3a8b6bde75467f5d2c81cfa2c,matched_format_only,SG_002,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,medium,standard,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.013351011276245273,5,3,RISK_CLUSTER_002,9,True,1.0,0.5009,0.0641,0.18,0.06,0.18,0.12,critical,极高,跨客户高相似、跨产品复用、风险关系簇、高连接节点、极高综合欺诈分
loan_008,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_008\face_signing.jpg,loan_005,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_005\face_signing.jpg,1,0.9618053436279296,medium,loan_005::loan_008,loan_008,LN2024000008,商户易贷,dcba35a29ef7256c3c5779fe213be248070801fde16cea69acb377bbcbaf4782,matched_format_only,,0,loan_005,LN2024000005,锡微贷,f697d943bf13db68070e6df84b8fd19d24f332a3a8b6bde75467f5d2c81cfa2c,matched_format_only,SG_002,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,medium,standard,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.011805343627929621,3,3,RISK_CLUSTER_002,9,True,1.0,0.5001,0.0567,0.18,0.06,0.12,0.12,critical,极高,跨客户高相似、跨产品复用、风险关系簇、高连接节点、极高综合欺诈分
loan_003,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_003\face_signing.jpg,loan_011,D:\GitHub\jinchuang\23-多模态技术与数据治理赛道-基于多模态大模型的金融影像智能相似度检测模型\基于多模态大模型的金融影像智能相似度检测模型\loan_011\face_signing.jpg,3,0.9526364803314208,medium,loan_003::loan_011,loan_003,LN2024000003,商户易贷,3d84a8fdf3089439635f359d6a8aacfee62019a6ed7831d05f9e4ab3153f3986,matched_format_only,,0,loan_011,LN2024000011,消费贷,16a520f7e0f76fa4c8a4b6685cdd6db63d638f881ab5453b8b9ba2bbaa1fa691,matched_format_only,SG_003,1,cross_customer,customer_id_format_only,weak,陌生人/跨客户,0.95,True,cross_customer_candidate,high-similarity candidate pending customer verification,高相似待客户关系核验,medium,standard,先通过客户主数据核验是否为不同客户，再决定是否进入反欺诈复核。,0.002636480331420832,5,3,RISK_CLUSTER_002,9,True,1.0,0.4954,0.0127,0.18,0.06,0.18,0.12,critical,极高,跨客户高相似、跨产品复用、风险关系簇、高连接节点、极高综合欺诈分
