query_loan_id,match_loan_id,decision,note
loan_2196,loan_0076,1,stage1_recall_first_fp_confirmed_true
loan_1788,loan_0077,1,stage1_recall_first_fp_confirmed_true
loan_2197,loan_0077,1,stage1_recall_first_fp_confirmed_true
loan_0077,loan_4050,1,stage1_pair_label_confirmed_true
loan_1531,loan_0080,1,stage1_recall_first_fp_confirmed_true
loan_2121,loan_0080,1,stage1_recall_first_fp_confirmed_true
loan_2473,loan_0080,1,stage1_recall_first_fp_confirmed_true
loan_3526,loan_0080,1,stage1_recall_first_fp_confirmed_true
loan_0528,loan_0082,1,stage1_recall_first_fp_confirmed_true
loan_1416,loan_0082,1,stage1_recall_first_fp_confirmed_true_round4
loan_3527,loan_0082,1,stage1_recall_first_fp_confirmed_true
loan_2198,loan_0084,1,stage1_recall_first_fp_confirmed_true
loan_0086,loan_0996,1,stage1_pair_label_confirmed_true
loan_1821,loan_0086,1,stage1_recall_first_fp_confirmed_true_round2
loan_3528,loan_0086,1,stage1_recall_first_fp_confirmed_true
loan_0095,loan_2199,1,stage1_pair_label_confirmed_true
loan_1919,loan_0098,1,stage1_recall_first_fp_confirmed_true
loan_0101,loan_1906,1,stage1_pair_label_confirmed_true
loan_2477,loan_0101,1,stage1_recall_first_fp_confirmed_true
loan_0103,loan_1756,1,stage1_pair_label_confirmed_true
loan_1954,loan_0103,1,stage1_recall_first_fp_confirmed_true
loan_2478,loan_0103,1,stage1_recall_first_fp_confirmed_true
loan_0600,loan_0104,1,stage1_recall_first_fp_confirmed_true
loan_1427,loan_0104,1,stage1_recall_first_fp_confirmed_true
loan_2479,loan_0104,1,stage1_symmetric_iterative_fp_confirmed_true_round2
loan_3530,loan_0104,1,stage1_recall_first_fp_confirmed_true
loan_1504,loan_0105,1,stage1_recall_first_fp_confirmed_true
loan_2201,loan_0108,1,stage1_recall_first_fp_confirmed_true
loan_0110,loan_1786,1,stage1_pair_label_confirmed_true
loan_2202,loan_0110,1,stage1_recall_first_fp_confirmed_true
loan_0620,loan_0112,1,stage1_recall_first_fp_confirmed_true
loan_1699,loan_0112,1,stage1_recall_first_fp_confirmed_true
